capacity,arm,m1,m2
2,random,135.0,159.0
2,random,131.0,125.0
2,HC_HI,126.0,159.0
2,HC_HI,121.0,189.0
2,HC_HI,101.0,145.0
2,HC_HI,102.0,150.0
2,HC_HI,87.0,120.0
2,HC_HI,101.0,169.0
2,HC_HI,87.0,155.0
2,HC_HI,131.0,145.0
2,HC_HI,102.0,135.0
2,HC_HI,101.0,125.0
2,HC_HI,130.0,179.0
2,HC_HI,111.0,208.0
2,HC_HI,151.0,194.0
2,HC_HI,121.0,174.0
2,HC_HI,67.0,140.0
2,HC_HI,91.0,188.0
2,HC_HI,87.0,155.0
2,HC_HI,101.0,135.0
2,HC_HI,106.0,135.0
2,HC_HI,101.0,184.0
2,HC_HI,101.0,129.0
2,HC_HI,111.0,126.0
2,HC_HI,72.0,116.0
2,HC_HI,110.0,188.0
2,HC_HI,101.0,135.0
2,HC_HI,130.0,193.0
2,HC_HI,140.0,218.0
2,HC_HI,97.0,141.0
2,HC_HI,97.0,140.0
2,HC_HI,106.0,154.0
2,HC_HI,116.0,169.0
2,HC_HI,102.0,140.0
2,HC_HI,116.0,165.0
2,HC_HI,115.0,178.0
2,HC_HI,86.0,116.0
2,HC_HI,115.0,153.0
2,HC_HI,101.0,184.0
2,HC_HI,92.0,143.0
2,HC_HI,125.0,145.0
2,HC_HI,135.0,209.0
2,HC_HI,145.0,194.0
2,HC_HI,130.0,194.0
2,HC_HI,111.0,159.0
2,HC_HI,111.0,180.0
2,HC_HI,130.0,174.0
2,HC_HI,86.0,134.0
2,HC_HI,105.0,164.0
2,HC_HI,135.0,208.0
2,HC_HI,120.0,154.0
2,HC_HI,115.0,168.0
2,HC_HI,115.0,168.0
2,HC_HI,101.0,164.0
2,HC_HI,106.0,193.0
2,HC_HI,106.0,153.0
2,HC_HI,101.0,125.0
2,HC_HI,111.0,188.0
2,HC_HI,121.0,174.0
2,HC_HI,116.0,174.0
2,HC_HI,105.0,159.0
2,HC_HI,155.0,188.0
2,HC_HI,126.0,203.0
2,HC_HI,140.0,218.0
2,HC_HI,92.0,135.0
2,HC_HI,87.0,125.0
2,HC_HI,105.0,154.0
2,HC_HI,112.0,145.0
2,HC_HI,106.0,154.0
2,HC_HI,91.0,164.0
2,HC_HI,121.0,155.0
2,HC_HI,87.0,102.0
2,HC_HI,116.0,155.0
2,HC_HI,91.0,81.0
2,HC_HI,106.0,154.0
2,HC_HI,90.0,169.0
2,HC_HI,117.0,179.0
2,HC_HI,106.0,159.0
2,HC_HI,136.0,174.0
2,HC_HI,130.0,174.0
2,HC_HI,156.0,203.0
2,HC_HI,72.0,140.0
2,HC_HI,121.0,169.0
2,HC_HI,115.0,208.0
2,HC_HI,101.0,135.0
2,HC_HI,92.0,155.0
2,HC_HI,116.0,140.0
2,HC_HI,101.0,148.0
2,HC_HI,91.0,145.0
2,HC_HI,126.0,140.0
2,HC_HI,121.0,179.0
2,HC_HI,126.0,179.0
2,HC_HI,92.0,159.0
2,HC_HI,97.0,115.0
2,HC_HI,126.0,203.0
2,HC_HI,101.0,164.0
2,HC_HI,101.0,135.0
2,HC_HI,102.0,145.0
2,HC_HI,121.0,194.0
2,HC_HI,87.0,155.0
2,HC_HI,92.0,125.0
2,HC_HI,101.0,148.0
2,HC_HI,111.0,150.0
2,HC_HI,111.0,114.0
2,HC_HI,121.0,179.0
2,HC_HI,92.0,149.0
2,HC_HI,90.0,169.0
2,HC_HI,77.0,124.0
2,HC_HI,117.0,179.0
2,HC_HI,106.0,124.0
2,HC_HI,100.0,165.0
2,HC_HI,101.0,183.0
2,HC_HI,125.0,150.0
2,HC_HI,136.0,224.0
2,HC_HI,96.0,149.0
2,HC_HI,72.0,92.0
2,HC_HI,126.0,198.0
2,HC_HI,82.0,164.0
2,HC_HI,111.0,126.0
2,HC_HI,110.0,208.0
