regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,HC_HI,233.0,311.0
E1_c2,abstraction,HC_HI,159.0,232.0
E1_c2,abstraction,HC_HI,179.0,205.0
E1_c2,abstraction,HC_HI,160.0,241.0
E1_c2,abstraction,HC_HI,194.0,266.0
E1_c2,abstraction,HC_HI,179.0,259.0
E1_c2,abstraction,HC_HI,154.0,216.0
E1_c2,abstraction,HC_HI,194.0,278.0
E1_c2,abstraction,HC_HI,218.0,293.0
E1_c2,abstraction,HC_HI,194.0,279.0
E1_c2,abstraction,HC_HI,121.0,213.0
E1_c2,abstraction,HC_HI,228.0,257.0
E1_c2,abstraction,HC_HI,154.0,209.0
E1_c2,abstraction,HC_HI,198.0,248.0
E1_c2,abstraction,HC_HI,179.0,257.0
E1_c2,abstraction,HC_HI,169.0,264.0
E1_c2,abstraction,HC_HI,143.0,209.0
E1_c2,abstraction,HC_HI,164.0,242.0
E1_c2,abstraction,HC_HI,194.0,279.0
E1_c2,abstraction,HC_HI,130.0,231.0
E1_c2,abstraction,HC_HI,145.0,218.0
E1_c2,abstraction,HC_HI,208.0,278.0
E1_c2,abstraction,HC_HI,159.0,237.0
E1_c2,abstraction,HC_HI,164.0,234.0
E1_c2,abstraction,HC_HI,209.0,266.0
E1_c2,abstraction,HC_HI,189.0,288.0
E1_c2,abstraction,HC_LI,165.0,263.0
E1_c2,abstraction,HC_LI,188.0,216.0
E1_c2,abstraction,HC_LI,233.0,309.0
E1_c2,abstraction,HC_LI,153.0,257.0
E1_c2,abstraction,HC_LI,203.0,300.0
E1_c2,abstraction,HC_LI,193.0,289.0
E1_c2,abstraction,HC_LI,208.0,266.0
E1_c2,abstraction,HC_LI,213.0,279.0
E1_c2,abstraction,HC_LI,187.0,258.0
E1_c2,abstraction,HC_LI,184.0,272.0
E1_c2,abstraction,HC_LI,189.0,262.0
E1_c2,abstraction,HC_LI,203.0,303.0
E1_c2,abstraction,HC_LI,163.0,254.0
E1_c2,abstraction,HC_LI,173.0,240.0
E1_c2,abstraction,HC_LI,199.0,292.0
E1_c2,abstraction,HC_LI,149.0,194.0
E1_c2,abstraction,HC_LI,194.0,248.0
E1_c2,abstraction,HC_LI,159.0,252.0
E1_c2,abstraction,HC_LI,164.0,255.0
E1_c2,abstraction,HC_LI,164.0,274.0
E1_c2,abstraction,HC_LI,189.0,245.0
E1_c2,abstraction,HC_LI,154.0,234.0
E1_c2,abstraction,HC_LI,178.0,240.0
E1_c2,abstraction,HC_LI,208.0,266.0
E1_c2,abstraction,HC_LI,165.0,238.0
E1_c2,abstraction,HC_LI,198.0,269.0
E1_c2,abstraction,HC_LI,189.0,292.0
E1_c2,abstraction,HC_LI,173.0,249.0
E1_c2,abstraction,HC_LI,134.0,232.0
E1_c2,abstraction,HC_LI,203.0,269.0
E1_c2,abstraction,HC_LI,193.0,309.0
E1_c2,abstraction,HC_LI,203.0,300.0
E1_c2,abstraction,HC_LI,183.0,281.0
E1_c2,abstraction,HC_LI,169.0,254.0
E1_c2,abstraction,HC_LI,218.0,274.0
E1_c2,abstraction,HC_LI,198.0,301.0
E1_c2,abstraction,HC_LI,198.0,269.0
E1_c2,abstraction,HC_LI,173.0,240.0
E1_c2,abstraction,HC_LI,178.0,251.0
E1_c2,abstraction,HC_LI,159.0,221.0
E1_c2,abstraction,HC_LI,154.0,258.0
E1_c2,abstraction,HC_LI,174.0,268.0
E1_c2,abstraction,HC_LI,148.0,170.0
E1_c2,abstraction,HC_LI,178.0,279.0
E1_c2,abstraction,HC_LI,169.0,243.0
E1_c2,abstraction,HC_LI,208.0,284.0
E1_c2,abstraction,HC_LI,178.0,251.0
E1_c2,abstraction,HC_LI,188.0,251.0
E1_c2,abstraction,HC_LI,203.0,299.0
E1_c2,abstraction,HC_LI,163.0,232.0
E1_c2,abstraction,HC_LI,183.0,269.0
E1_c2,abstraction,HC_LI,174.0,289.0
E1_c2,abstraction,HC_LI,168.0,249.0
E1_c2,abstraction,HC_LI,165.0,271.0
E1_c2,abstraction,HC_LI,159.0,284.0
