config_id,F,n_amrs,n_elevators,demand,size,scheme,corner,makespan
1,3,5,2,uniform,16,2x2_CI,C0_I1,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,213.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,168.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,151.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,181.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,243.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,174.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,147.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,181.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,195.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,205.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,141.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,218.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,152.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,166.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,164.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,212.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,132.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,146.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,185.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,222.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,200.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,181.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,165.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,152.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,193.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,242.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,171.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,141.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,166.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,203.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,175.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,213.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,108.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,131.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,159.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,155.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,190.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,239.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,190.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,195.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,171.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,203.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,209.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,194.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,195.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,203.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,156.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,165.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,151.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,109.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,216.0
