config_id,F,n_amrs,n_elevators,demand,size,arm,ops_policy,wave_id,makespan
1,3,5,2,uniform,8,phi_corner,fifo,47,114.0
1,3,5,2,uniform,8,phi_corner,fifo,48,75.0
1,3,5,2,uniform,8,phi_corner,fifo,49,109.0
1,3,5,2,uniform,8,phi_corner,fifo,50,94.0
1,3,5,2,uniform,8,phi_corner,fifo,51,119.0
1,3,5,2,uniform,8,phi_corner,fifo,52,129.0
1,3,5,2,uniform,8,phi_corner,fifo,53,86.0
1,3,5,2,uniform,8,phi_corner,fifo,54,109.0
1,3,5,2,uniform,8,phi_corner,fifo,55,85.0
1,3,5,2,uniform,8,phi_corner,fifo,56,99.0
1,3,5,2,uniform,8,phi_corner,fifo,57,100.0
1,3,5,2,uniform,8,phi_corner,fifo,58,100.0
1,3,5,2,uniform,8,phi_corner,fifo,59,104.0
1,3,5,2,uniform,8,phi_corner,fifo,60,90.0
1,3,5,2,uniform,8,phi_corner,fifo,61,104.0
1,3,5,2,uniform,8,phi_corner,fifo,62,132.0
1,3,5,2,uniform,8,phi_corner,fifo,63,85.0
1,3,5,2,uniform,8,phi_corner,fifo,64,133.0
1,3,5,2,uniform,8,phi_corner,fifo,65,66.0
1,3,5,2,uniform,8,phi_corner,fifo,66,128.0
1,3,5,2,uniform,8,phi_corner,fifo,67,90.0
1,3,5,2,uniform,8,phi_corner,fifo,68,114.0
1,3,5,2,uniform,8,phi_corner,fifo,69,66.0
1,3,5,2,uniform,8,phi_corner,fifo,70,119.0
1,3,5,2,uniform,8,phi_corner,fifo,71,85.0
1,3,5,2,uniform,8,phi_corner,fifo,72,90.0
1,3,5,2,uniform,8,phi_corner,fifo,73,86.0
1,3,5,2,uniform,8,phi_corner,fifo,74,80.0
1,3,5,2,uniform,8,phi_corner,fifo,75,72.0
1,3,5,2,uniform,8,phi_corner,fifo,76,99.0
1,3,5,2,uniform,8,phi_corner,fifo,77,66.0
1,3,5,2,uniform,8,phi_corner,fifo,78,84.0
